offset,0/1,0/2,0/3,0/4,0/5,0/6,0/7,0/8,0/9,0/10,0/11,1/2,1/3,1/4,1/5,1/6,1/7,1/8,1/9,1/10,1/11,2/3,2/4,2/5,2/6,2/7,2/8,2/9,2/10,2/11,3/4,3/5,3/6,3/7,3/8,3/9,3/10,3/11,4/5,4/6,4/7,4/8,4/9,4/10,4/11,5/6,5/7,5/8,5/9,5/10,5/11,6/7,6/8,6/9,6/10,6/11,7/8,7/9,7/10,7/11,8/9,8/10,8/11,9/10,9/11,10/11,total,tonic,is_major,numeral,chord_tonality
0.0,0.0,0.0,0.056,0.389333,0.0,0.110667,0.0,0.110667,0.0,0.0,0.333333,0.0,0.056,0.389333,0.0,0.110667,0.0,0.110667,0.0,0.0,0.333333,0.056,0.389333,0.0,0.110667,0.0,0.110667,0.0,0.0,0.333333,0.333333,0.056,0.054667,0.056,0.054667,0.056,0.056,0.277333,0.389333,0.278666,0.389333,0.278666,0.389333,0.389333,0.056,0.110667,0.0,0.110667,0.0,0.0,0.333333,0.110667,0.0,0.110667,0.110667,0.222666,0.110667,0.0,0.0,0.333333,0.110667,0.110667,0.222666,0.0,0.333333,0.333333,1.0,,,,
1.0,0.0,0.0,0.0,0.389333,0.0,0.0,0.0,0.166667,0.0,0.0,0.444,0.0,0.0,0.389333,0.0,0.0,0.0,0.166667,0.0,0.0,0.444,0.0,0.389333,0.0,0.0,0.0,0.166667,0.0,0.0,0.444,0.389333,0.0,0.0,0.0,0.166667,0.0,0.0,0.444,0.389333,0.389333,0.389333,0.222666,0.389333,0.389333,0.054667,0.0,0.0,0.166667,0.0,0.0,0.444,0.0,0.166667,0.0,0.0,0.444,0.166667,0.0,0.0,0.444,0.166667,0.166667,0.277333,0.0,0.444,0.444,1.0,E,True,I,Major
2.0,0.0,0.0,0.0,0.389333,0.0,0.056,0.0,0.110667,0.110667,0.0,0.333333,0.0,0.0,0.389333,0.0,0.056,0.0,0.110667,0.110667,0.0,0.333333,0.0,0.389333,0.0,0.056,0.0,0.110667,0.110667,0.0,0.333333,0.389333,0.0,0.056,0.0,0.110667,0.110667,0.0,0.333333,0.389333,0.333333,0.389333,0.278666,0.278666,0.389333,0.056,0.056,0.0,0.110667,0.110667,0.0,0.333333,0.056,0.054667,0.054667,0.056,0.277333,0.110667,0.110667,0.0,0.333333,0.0,0.110667,0.222666,0.110667,0.222666,0.333333,1.0,E,True,V7,Dominant seventh
3.0,0.090909,0.0,0.0,0.0,0.0,0.272727,0.0,0.0,0.0,0.0,0.636364,0.090909,0.090909,0.090909,0.090909,0.181818,0.090909,0.090909,0.090909,0.090909,0.545455,0.0,0.0,0.0,0.272727,0.0,0.0,0.0,0.0,0.636364,0.0,0.0,0.272727,0.0,0.0,0.0,0.0,0.636364,0.0,0.272727,0.0,0.0,0.0,0.0,0.636364,0.272727,0.0,0.0,0.0,0.0,0.636364,0.272727,0.272727,0.272727,0.272727,0.363637,0.0,0.0,0.0,0.636364,0.0,0.0,0.636364,0.0,0.636364,0.636364,1.0,E,True,I,Major
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,E,True,V7,Dominant seventh
4.833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,True,III,Minor
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,E,True,VI,Minor
5.833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,True,III,Minor
6.0,0.0,0.0,0.0,0.445333,0.0,0.0,0.0,0.221333,0.0,0.0,0.333333,0.0,0.0,0.445333,0.0,0.0,0.0,0.221333,0.0,0.0,0.333333,0.0,0.445333,0.0,0.0,0.0,0.221333,0.0,0.0,0.333333,0.445333,0.0,0.0,0.0,0.221333,0.0,0.0,0.333333,0.445333,0.445333,0.445333,0.224,0.445333,0.445333,0.112,0.0,0.0,0.221333,0.0,0.0,0.333333,0.0,0.221333,0.0,0.0,0.333333,0.221333,0.0,0.0,0.333333,0.221333,0.221333,0.112,0.0,0.333333,0.333333,1.0,E,True,II,Minor
6.5,0.0,0.0,0.112,0.333333,0.0,0.221333,0.0,0.0,0.0,0.0,0.333333,0.0,0.112,0.333333,0.0,0.221333,0.0,0.0,0.0,0.0,0.333333,0.112,0.333333,0.0,0.221333,0.0,0.0,0.0,0.0,0.333333,0.221333,0.112,0.109333,0.112,0.112,0.112,0.112,0.221333,0.333333,0.112,0.333333,0.333333,0.333333,0.333333,0.0,0.221333,0.0,0.0,0.0,0.0,0.333333,0.221333,0.221333,0.221333,0.221333,0.112,0.0,0.0,0.0,0.333333,0.0,0.0,0.333333,0.0,0.333333,0.333333,1.0,E,True,II7,Minor seventh
