offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,total,tonic,is_major,numeral,chord_tonality
0.0,0.0,0.028571,0.32,0.0,0.017143,0.0,0.291429,0.0,0.0,0.0,0.0,0.342857,1.0,B,False,I,Minor
12.0,0.0,0.0,0.35,0.0,0.0,0.0,0.1,0.225,0.0,0.0,0.0,0.325,1.0,B,False,VI,Major
15.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25,1.0,F#,False,IIdim,Diminished
16.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,1.0,F#,False,V+,Major
17.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,1.0,B,False,VIIdim7,Diminished seventh
17.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,1.0,B,False,I,Minor
18.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,1.0,B,False,VIIdim7,Diminished seventh
18.5,0.0,0.0,0.2,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.2,1.0,B,False,VI,Major
19.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,1.0,B,False,VIIdim7,Diminished seventh
19.5,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.0,1.0,B,False,V+,Major
20.0,0.0,0.066667,0.266667,0.0,0.066667,0.0,0.266667,0.0,0.0,0.0,0.0,0.333333,1.0,B,False,I,Minor
21.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125,1.0,B,False,VIIdim7,Diminished seventh
22.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,1.0,B,False,I,Minor
22.5,0.0,0.5,0.166667,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.166667,0.0,1.0,B,False,V+,Major
24.0,0.0,0.034091,0.272727,0.0,0.0,0.0,0.306818,0.0,0.0,0.0,0.0,0.386364,1.0,B,False,I,Minor
30.0,0.0,0.0,0.321429,0.0,0.0,0.0,0.0,0.357143,0.0,0.0,0.0,0.321429,1.0,B,False,VI,Major
32.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.333333,0.0,0.0,0.0,0.333333,1.0,B,False,IV,Minor
32.5,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.333333,0.0,0.0,0.0,0.333333,1.0,C,True,V,Major
33.0,0.322034,0.0,0.0,0.0,0.288136,0.0,0.0,0.355932,0.0,0.0,0.0,0.033898,1.0,C,True,I,Major
42.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,1.0,B,False,VIIdim7,Diminished seventh
43.0,0.0,0.25,0.0,0.0,0.125,0.0,0.375,0.0,0.0,0.0,0.25,0.0,1.0,B,False,V+,Major
44.0,0.0,0.0625,0.3125,0.0,0.0625,0.0,0.25,0.0,0.0,0.0,0.0,0.3125,1.0,B,False,I,Minor
45.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.083333,0.166667,1.0,B,False,VIIdim7,Diminished seventh
46.5,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,1.0,B,False,V+,Major
47.0,0.0,0.03125,0.3125,0.0,0.0625,0.0,0.0,0.28125,0.0,0.03125,0.0,0.28125,1.0,B,False,VI,Major
49.0,0.0,0.25,0.0,0.0,0.166667,0.0,0.25,0.083333,0.0,0.0,0.166667,0.083333,1.0,B,False,V+7,Dominant seventh
52.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.375,1.0,B,False,VI,Major
54.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.083333,0.166667,1.0,B,False,IIhdim7,Half-diminished seventh
55.5,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,1.0,B,False,V+,Major
56.0,0.0,0.0625,0.3125,0.0,0.0625,0.0,0.25,0.0,0.0,0.0,0.0,0.3125,1.0,B,False,I,Minor
57.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.083333,0.166667,1.0,B,False,IIhdim7,Half-diminished seventh
58.5,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,1.0,B,False,V+,Major
59.0,0.0,0.03125,0.3125,0.0,0.0625,0.0,0.0,0.28125,0.0,0.03125,0.0,0.28125,1.0,B,False,VI,Major
61.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.125,0.125,1.0,B,False,V+7,Dominant seventh
63.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5,1.0,B,False,I,Minor
65.0,0.0,0.041667,0.325,0.0,0.0,0.0,0.358333,0.0,0.0,0.033333,0.0,0.241667,1.0,B,False,III,Major
